********************************************************************************
product = WebSphere Application Server 20.0.0.6 (wlp-1.0.41.cl200620200528-0414)
wlp.install.dir = C:/Users/pachopaco70/Documents/GitHub/CookTimeServer/Liberty/
java.home = C:\Program Files\Java\jre1.8.0_241
java.version = 1.8.0_241
java.runtime = Java(TM) SE Runtime Environment (1.8.0_241-b07)
os = Windows 10 (10.0; amd64) (en_US)
process = 6448@LAPTOP-RVGN66JT
********************************************************************************
[7/23/20 21:30:14:109 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[7/23/20 21:30:14:135 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0100I: This product is licensed for development, and limited production use. The full license terms can be viewed here: https://public.dhe.ibm.com/ibmdl/export/pub/software/websphere/wasdev/license/base_ilan/ilan/20.0.0.6/lafiles/en.html
[7/23/20 21:30:14:837 CST] 00000015 com.ibm.ws.config.xml.internal.XMLConfigParser               A CWWKG0028A: Processing included configuration resource: C:\Users\pachopaco70\Documents\GitHub\CookTimeServer\Liberty\usr\servers\defaultServer\GeneratedSSLInclude.xml
[7/23/20 21:30:14:971 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 1.061 seconds
[7/23/20 21:30:15:035 CST] 00000020 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[7/23/20 21:30:15:173 CST] 00000020 com.ibm.ws.config.xml.internal.ConfigValidator               A CWWKG0102I: Found conflicting settings for defaultKeyStore instance of keyStore configuration.
  Property password has conflicting values:
    Secure value is set in file:/C:/Users/pachopaco70/Documents/GitHub/CookTimeServer/Liberty/usr/servers/defaultServer/server.xml.
    Secure value is set in file:/C:/Users/pachopaco70/Documents/GitHub/CookTimeServer/Liberty/usr/servers/defaultServer/GeneratedSSLInclude.xml.
  Property password will be set to the value defined in file:/C:/Users/pachopaco70/Documents/GitHub/CookTimeServer/Liberty/usr/servers/defaultServer/server.xml.

[7/23/20 21:30:15:273 CST] 00000014 com.ibm.ws.security.registry.basic.internal.BasicRegistry    W CWWKS3103W: There are no users defined for the BasicRegistry configuration of ID com.ibm.ws.security.registry.basic.config[basic].
[7/23/20 21:30:15:293 CST] 00000014 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: The security service is starting...
[7/23/20 21:30:15:479 CST] 00000017 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[7/23/20 21:30:15:886 CST] 00000018 com.ibm.ws.cache.ServerCache                                 I DYNA1001I: WebSphere Dynamic Cache instance named baseCache initialized successfully.
[7/23/20 21:30:15:889 CST] 00000018 com.ibm.ws.cache.ServerCache                                 I DYNA1071I: The cache provider default is being used.
[7/23/20 21:30:15:889 CST] 00000018 com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Dynamic Cache (object cache) initialized successfully.
[7/23/20 21:30:16:415 CST] 00000014 ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I: The collective authentication plugin with class name NullCollectiveAuthenticationPlugin has been activated. 
[7/23/20 21:30:16:432 CST] 0000002a com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0008I: The security service is ready.
[7/23/20 21:30:16:433 CST] 0000002a com.ibm.ws.security.token.ltpa.internal.LTPAKeyCreateTask    I CWWKS4105I: LTPA configuration is ready after 0.049 seconds.
[7/23/20 21:30:16:666 CST] 0000001c com.ibm.ws.ssl.config.WSKeyStore                             I Successfully loaded default keystore: C:/Users/pachopaco70/Documents/GitHub/CookTimeServer/Liberty/usr/servers/defaultServer/resources/security/key.p12 of type: PKCS12
[7/23/20 21:30:17:517 CST] 00000014 com.ibm.ws.sib.utils.ras.SibMessage                          I  CWSID0108I: JMS server has started.  
[7/23/20 21:30:17:566 CST] 00000014 com.ibm.ws.security.jaspi.AuthConfigFactoryWrapper           I CWWKS1655I: The default Java Authentication SPI for Containers (JASPIC) AuthConfigFactory class com.ibm.ws.security.jaspi.ProviderRegistry is being used because the Java security property authconfigprovider.factory is not set. 
[7/23/20 21:30:17:946 CST] 00000014 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf.cxf.rt.ws.addr.2.6.2 (185) [org.apache.cxf.ws.addressing.policy.AddressingAssertionBuilder, org.apache.cxf.ws.addressing.policy.UsingAddressingAssertionBuilder, org.apache.cxf.ws.addressing.policy.AddressingPolicyInterceptorProvider, org.apache.cxf.ws.addressing.impl.AddressingWSDLExtensionLoader, org.apache.cxf.ws.addressing.WSAddressingFeature$WSAddressingFeatureApplier, org.apache.cxf.ws.addressing.MAPAggregator$MAPAggregatorLoader]
[7/23/20 21:30:17:950 CST] 00000014 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf.cxf.rt.bindings.soap.2.6.2 (188) [org.apache.cxf.binding.soap.SoapBindingFactory, org.apache.cxf.binding.soap.SoapTransportFactory]
[7/23/20 21:30:17:952 CST] 00000014 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf.cxf.rt.bindings.xml.2.6.2 (194) [org.apache.cxf.binding.xml.XMLBindingFactory, org.apache.cxf.binding.xml.wsdl11.XMLWSDLExtensionLoader]
[7/23/20 21:30:17:953 CST] 00000014 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf.cxf.rt.frontend.jaxws.2.6.2 (196) [org.apache.cxf.jaxws.context.WebServiceContextResourceResolver]
[7/23/20 21:30:17:955 CST] 00000014 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf.cxf.rt.management.2.6.2 (198) [org.apache.cxf.management.InstrumentationManager]
[7/23/20 21:30:17:956 CST] 00000014 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf.cxf.rt.transports.http.2.6.2 (202) [org.apache.cxf.transport.http.HTTPTransportFactory, org.apache.cxf.transport.http.HTTPWSDLExtensionLoader, org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder, org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder, org.apache.cxf.transport.http.policy.NoOpPolicyInterceptorProvider]
[7/23/20 21:30:17:957 CST] 00000014 org.apache.cxf.bus.osgi.CXFActivator                         I Adding the extensions from bundle com.ibm.ws.org.apache.cxf.cxf.rt.ws.policy.2.6.2 (204) [org.apache.cxf.ws.policy.PolicyEngine, org.apache.cxf.policy.PolicyDataEngine, org.apache.cxf.ws.policy.AssertionBuilderRegistry, org.apache.cxf.ws.policy.PolicyInterceptorProviderRegistry, org.apache.cxf.ws.policy.PolicyBuilder, org.apache.cxf.ws.policy.PolicyAnnotationListener, org.apache.cxf.ws.policy.attachment.ServiceModelPolicyProvider, org.apache.cxf.ws.policy.attachment.external.DomainExpressionBuilderRegistry, org.apache.cxf.ws.policy.attachment.external.EndpointReferenceDomainExpressionBuilder, org.apache.cxf.ws.policy.attachment.wsdl11.Wsdl11AttachmentPolicyProvider, org.apache.cxf.ws.policy.mtom.MTOMAssertionBuilder, org.apache.cxf.ws.policy.mtom.MTOMPolicyInterceptorProvider]
[7/23/20 21:30:18:560 CST] 00000015 com.ibm.ws.transport.iiop.internal.ORBWrapperInternal        A CWWKI0001I: The CORBA name server is now available at corbaloc:iiop:localhost:2809/NameService.
[7/23/20 21:30:19:283 CST] 00000030 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application CookTimeServer.
[7/23/20 21:30:19:284 CST] 00000030 bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: The CookTimeServer application is using the loose application definition at the C:\Users\pachopaco70\Documents\GitHub\CookTimeServer\Liberty\usr\servers\defaultServer\apps\CookTimeServer.war.xml location.
[7/23/20 21:30:20:031 CST] 00000030 org.jboss.weld.Version                                       I WELD-000900: 2.4.8 (Final)
[7/23/20 21:30:20:359 CST] 00000030 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[7/23/20 21:30:20:376 CST] 00000030 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: CookTimeServer.
[7/23/20 21:30:20:378 CST] 00000030 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module CookTimeServer has been bound to default_host.
[7/23/20 21:30:20:379 CST] 00000030 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://localhost:9080/CookTimeServer/
[7/23/20 21:30:20:418 CST] 00000031 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\Users\pachopaco70\Documents\GitHub\CookTimeServer\Liberty\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[7/23/20 21:30:20:502 CST] 0000002d com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/CookTimeServer
[7/23/20 21:30:20:517 CST] 0000002d com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
[7/23/20 21:30:20:687 CST] 0000002d com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Dynamic Cache (object cache) initialized successfully.
[7/23/20 21:30:20:841 CST] 0000002d org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Reading standard config META-INF/standard-faces-config.xml
[7/23/20 21:30:21:004 CST] 0000002d org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Reading config /WEB-INF/faces-config.xml
[7/23/20 21:30:21:117 CST] 0000002d org.apache.myfaces.spi.impl.DefaultInjectionProviderFactory  I Using InjectionProvider com.ibm.ws.jsf.spi.impl.WASCDIAnnotationDelegateInjectionProvider
[7/23/20 21:30:21:153 CST] 0000002d org.apache.myfaces.util.ExternalSpecifications               I MyFaces CDI support enabled
[7/23/20 21:30:21:171 CST] 0000002d org.apache.myfaces.util.ExternalSpecifications               I MyFaces Bean Validation support enabled
[7/23/20 21:30:21:227 CST] 0000002d org.apache.myfaces.application.ApplicationImpl               I Couldn't discover the current project stage, using Production
